gvkey,year,patents_applied,patents_granted,private_subsidiary_patents,distinct_assignee_names,private_subsidiary_share,cik,link_method,link_score,link_conflict,candidate_count,ticker_hint,revenue,sales_marketing_expense,sga_expense,rd_expense,capex,employees,sales_marketing_to_revenue,sga_to_revenue,rd_to_revenue,capex_to_revenue,kw_sales_force,kw_customer_service,kw_brand,kw_advertising,kw_customer_data,customer_capital_keyword_total,sic,sic_description,state_of_incorporation,fiscal_year_end,entity_type,name_sec,ticker_sec,naics2_proxy
001078,2017,275,275,44,12,0.16,0001091587,fuzzy_name,0.9,False,1.0,,34312000000.0,,5607000000.0,1365000000.0,,,,0.16341221730006994,0.03978200046630916,,3.0,0.0,14.0,2.0,9.0,28.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2018,134,134,19,9,0.1417910447761194,0001091587,fuzzy_name,0.9,False,1.0,,27662000000.0,,5295000000.0,1147000000.0,,,,0.1914178295134119,0.04146482539223483,,3.0,0.0,10.0,2.0,10.0,25.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2019,36,36,9,5,0.25,0001091587,fuzzy_name,0.9,False,1.0,,25196000000.0,,5447000000.0,1198000000.0,,,,0.21618510874742022,0.04754722971900301,,4.0,0.0,4.0,2.0,7.0,17.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2020,11,11,1,3,0.09090909090909091,0001091587,fuzzy_name,0.9,False,1.0,,26134000000.0,,4895000000.0,1127000000.0,,,,0.18730389530879316,0.04312389990051274,,4.0,0.0,17.0,2.0,6.0,29.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001081,1998,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001084,2000,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001084,2001,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001084,2006,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001084,2009,3,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001084,2011,3,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001084,2013,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001094,2004,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001099,1997,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001099,2000,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,1997,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,1998,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2000,4,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2001,6,6,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2002,5,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2003,16,16,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2004,6,6,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2005,4,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2006,10,10,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2007,18,18,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2008,7,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2009,5,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2010,2,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001104,2011,2,2,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,,,22039956.0,,940713.0,,,,,,0.0,2.0,5.0,8.0,0.0,15.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
001104,2012,3,3,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,,,24385922.0,572985.0,681135.0,,,,,,0.0,2.0,5.0,8.0,0.0,15.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
